01:45:01 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  50 | loss 0.9746 | train 0.5600 | val 0.4620 | 1.1s
01:45:02 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  51 | loss 0.9734 | train 0.5660 | val 0.4668 | 1.1s
01:45:03 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  52 | loss 0.9728 | train 0.5560 | val 0.4684 | 1.1s
01:45:05 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  53 | loss 0.9731 | train 0.5540 | val 0.4676 | 1.1s
01:45:06 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  54 | loss 0.9722 | train 0.5640 | val 0.4680 | 1.1s
01:45:07 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  55 | loss 0.9723 | train 0.5600 | val 0.4672 | 1.1s
01:45:08 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  56 | loss 0.9719 | train 0.5620 | val 0.4668 | 1.1s
01:45:09 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  57 | loss 0.9717 | train 0.5560 | val 0.4684 | 1.1s
01:45:10 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  58 | loss 0.9716 | train 0.5600 | val 0.4684 | 1.1s
01:45:11 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  59 | loss 0.9715 | train 0.5600 | val 0.4680 | 1.1s
01:45:11 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | ------------------------------------------------------------------------------
01:45:12 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   test A: acc 0.4684 (chance 0.20) | macro-F1 0.4569 | per-class 0.77 0.37 0.33 0.26 0.62
01:45:13 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   test B: acc 0.1630 (chance 0.20) | macro-F1 0.1061 | per-class 0.21 0.54 0.07 0.00 0.00
01:45:13 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   test C: acc 0.2004 (chance 0.20) | macro-F1 0.0693 | per-class 0.00 1.00 0.00 0.00 0.00
01:45:14 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   test D: acc 0.1810 (chance 0.20) | macro-F1 0.1237 | per-class 0.34 0.47 0.09 0.00 0.00
01:45:14 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | run s2_count_M1_core_real_N500_m2_sh0_c49abd81ab finished: ok (79.1s)
